--- Starting experiment (DSL) ---
Dataset loaded from data/ML-EdgeIIoT-dataset.csv. Shape: (50000, 63)
Features and labels extracted.
Data split: X_train=(40000, 8), X_test=(10000, 8)
Features scaled.
Quantum device 'lightning.qubit' initialized with 8 wires.
Class weights: {tensor(-1, requires_grad=False): np.float64(3.2102728731942216), tensor(1, requires_grad=False): np.float64(0.5922416345869115)}
Epoch 1 Iter 10/625 | Batch Cost: 1.4395170 | Batch Acc: 0.2031250
Epoch 1 Iter 20/625 | Batch Cost: 1.0353872 | Batch Acc: 0.2500000
Epoch 1 Iter 30/625 | Batch Cost: 1.0567681 | Batch Acc: 0.1093750
Epoch 1 Iter 40/625 | Batch Cost: 1.1278160 | Batch Acc: 0.1250000
Epoch 1 Iter 50/625 | Batch Cost: 0.8047533 | Batch Acc: 0.8437500
Epoch 1 Iter 60/625 | Batch Cost: 1.0414110 | Batch Acc: 0.1406250
Epoch 1 Iter 70/625 | Batch Cost: 1.0984725 | Batch Acc: 0.2031250
Epoch 1 Iter 80/625 | Batch Cost: 0.8852308 | Batch Acc: 0.8593750
Epoch 1 Iter 90/625 | Batch Cost: 0.9714697 | Batch Acc: 0.8906250
Epoch 1 Iter 100/625 | Batch Cost: 0.9098667 | Batch Acc: 0.8906250
Epoch 1 Iter 110/625 | Batch Cost: 1.0174667 | Batch Acc: 0.0937500
Epoch 1 Iter 120/625 | Batch Cost: 1.1309318 | Batch Acc: 0.1406250
Epoch 1 Iter 130/625 | Batch Cost: 0.7832457 | Batch Acc: 0.8593750
Epoch 1 Iter 140/625 | Batch Cost: 1.1294350 | Batch Acc: 0.1093750
Epoch 1 Iter 150/625 | Batch Cost: 0.9982909 | Batch Acc: 0.9218750
Epoch 1 Iter 160/625 | Batch Cost: 0.9050334 | Batch Acc: 0.8125000
Epoch 1 Iter 170/625 | Batch Cost: 0.7635775 | Batch Acc: 0.8593750
Epoch 1 Iter 180/625 | Batch Cost: 1.1703354 | Batch Acc: 0.1250000
Epoch 1 Iter 190/625 | Batch Cost: 1.0156467 | Batch Acc: 0.1406250
Epoch 1 Iter 200/625 | Batch Cost: 0.8531931 | Batch Acc: 0.8437500
Epoch 1 Iter 210/625 | Batch Cost: 1.2319916 | Batch Acc: 0.1406250
Epoch 1 Iter 220/625 | Batch Cost: 1.1004721 | Batch Acc: 0.1250000
Epoch 1 Iter 230/625 | Batch Cost: 1.0924218 | Batch Acc: 0.2187500
Epoch 1 Iter 240/625 | Batch Cost: 0.9012856 | Batch Acc: 0.8906250
Epoch 1 Iter 250/625 | Batch Cost: 0.9479618 | Batch Acc: 0.8593750
Epoch 1 Iter 260/625 | Batch Cost: 0.9430520 | Batch Acc: 0.8750000
Epoch 1 Iter 270/625 | Batch Cost: 0.9152494 | Batch Acc: 0.8125000
Epoch 1 Iter 280/625 | Batch Cost: 1.1036200 | Batch Acc: 0.2343750
Epoch 1 Iter 290/625 | Batch Cost: 0.9639628 | Batch Acc: 0.7656250
Epoch 1 Iter 300/625 | Batch Cost: 0.9533949 | Batch Acc: 0.8125000
Epoch 1 Iter 310/625 | Batch Cost: 1.1983367 | Batch Acc: 0.0937500
Epoch 1 Iter 320/625 | Batch Cost: 0.7518159 | Batch Acc: 0.8906250
Epoch 1 Iter 330/625 | Batch Cost: 1.0862008 | Batch Acc: 0.1875000
Epoch 1 Iter 340/625 | Batch Cost: 1.0167694 | Batch Acc: 0.0937500
Epoch 1 Iter 350/625 | Batch Cost: 0.8934954 | Batch Acc: 0.8281250
Epoch 1 Iter 360/625 | Batch Cost: 1.1954636 | Batch Acc: 0.1562500
Epoch 1 Iter 370/625 | Batch Cost: 0.9134860 | Batch Acc: 0.8281250
Epoch 1 Iter 380/625 | Batch Cost: 1.0018815 | Batch Acc: 0.1406250
Epoch 1 Iter 390/625 | Batch Cost: 0.9927454 | Batch Acc: 0.7187500
Epoch 1 Iter 400/625 | Batch Cost: 1.1301352 | Batch Acc: 0.1250000
Epoch 1 Iter 410/625 | Batch Cost: 0.9153218 | Batch Acc: 0.7968750
Epoch 1 Iter 420/625 | Batch Cost: 0.8383791 | Batch Acc: 0.8750000
Epoch 1 Iter 430/625 | Batch Cost: 1.0868322 | Batch Acc: 0.1562500
Epoch 1 Iter 440/625 | Batch Cost: 1.0961886 | Batch Acc: 0.2031250
