--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 7042764 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 8)
X_test shape: (100000, 8)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 50.06 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 8 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(309.59752321981426), tensor(1, requires_grad=False): np.float64(0.5008088062220486)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:    10 | Batch Cost: 2.1025137 | Batch Acc: 0.0100000
Iter:    20 | Batch Cost: 1.5983171 | Batch Acc: 0.0000000
Iter:    30 | Batch Cost: 1.0507556 | Batch Acc: 0.0000000
Iter:    40 | Batch Cost: 0.7456833 | Batch Acc: 0.9900000
Iter:    50 | Batch Cost: 2.1442223 | Batch Acc: 0.0000000
Iter:    60 | Batch Cost: 1.7352710 | Batch Acc: 0.0000000
Iter:    70 | Batch Cost: 1.0198036 | Batch Acc: 0.0000000
Iter:    80 | Batch Cost: 0.6636078 | Batch Acc: 1.0000000
Iter:    90 | Batch Cost: 0.2440915 | Batch Acc: 1.0000000
Iter:   100 | Batch Cost: 0.0152266 | Batch Acc: 1.0000000
Iter:   110 | Batch Cost: 0.2224541 | Batch Acc: 1.0000000
Iter:   120 | Batch Cost: 0.0144065 | Batch Acc: 1.0000000
Iter:   130 | Batch Cost: 1.3084068 | Batch Acc: 0.0000000
Iter:   140 | Batch Cost: 1.5516392 | Batch Acc: 0.0000000
Iter:   150 | Batch Cost: 1.3733777 | Batch Acc: 0.0000000
Iter:   160 | Batch Cost: 1.9474379 | Batch Acc: 0.0100000
Iter:   170 | Batch Cost: 1.0494675 | Batch Acc: 0.0000000
Iter:   180 | Batch Cost: 0.5071186 | Batch Acc: 1.0000000
Iter:   190 | Batch Cost: 1.2915280 | Batch Acc: 0.0100000
Iter:   200 | Batch Cost: 1.6447169 | Batch Acc: 0.0000000
Iter:   210 | Batch Cost: 0.9737184 | Batch Acc: 1.0000000
Iter:   220 | Batch Cost: 0.4733096 | Batch Acc: 0.9900000
Iter:   230 | Batch Cost: 0.3688720 | Batch Acc: 1.0000000
Iter:   240 | Batch Cost: 0.4588509 | Batch Acc: 1.0000000
Iter:   250 | Batch Cost: 0.3764049 | Batch Acc: 1.0000000
Iter:   260 | Batch Cost: 1.0240249 | Batch Acc: 0.0000000
Iter:   270 | Batch Cost: 0.4288522 | Batch Acc: 1.0000000
Iter:   280 | Batch Cost: 0.0777944 | Batch Acc: 1.0000000
Iter:   290 | Batch Cost: 0.0005639 | Batch Acc: 1.0000000
Iter:   300 | Batch Cost: 0.0002494 | Batch Acc: 1.0000000
Iter:   310 | Batch Cost: 1.6526351 | Batch Acc: 0.0000000
Iter:   320 | Batch Cost: 2.1054486 | Batch Acc: 0.0000000
Iter:   330 | Batch Cost: 1.2460492 | Batch Acc: 0.0000000
Iter:   340 | Batch Cost: 0.4313519 | Batch Acc: 0.9900000
Iter:   350 | Batch Cost: 1.3258800 | Batch Acc: 0.0000000
Iter:   360 | Batch Cost: 0.7078914 | Batch Acc: 0.9900000
