--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 2830743 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 8)
X_test shape: (100000, 8)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 6.35 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 8 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(0.6216218736304893), tensor(1, requires_grad=False): np.float64(2.555551296303395)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:    10 | Batch Cost: 0.9504399 | Batch Acc: 0.8500000
Iter:    20 | Batch Cost: 0.8675103 | Batch Acc: 0.7700000
Iter:    30 | Batch Cost: 0.7935667 | Batch Acc: 0.8200000
Iter:    40 | Batch Cost: 0.9308375 | Batch Acc: 0.8600000
Iter:    50 | Batch Cost: 0.9522365 | Batch Acc: 0.7500000
Iter:    60 | Batch Cost: 0.8027142 | Batch Acc: 0.8800000
Iter:    70 | Batch Cost: 0.8114769 | Batch Acc: 0.8600000
Iter:    80 | Batch Cost: 0.9435992 | Batch Acc: 0.6800000
Iter:    90 | Batch Cost: 0.9099545 | Batch Acc: 0.7100000
Iter:   100 | Batch Cost: 0.9436758 | Batch Acc: 0.7100000
Iter:   110 | Batch Cost: 0.9563979 | Batch Acc: 0.6700000
Iter:   120 | Batch Cost: 0.8975352 | Batch Acc: 0.8000000
Iter:   130 | Batch Cost: 0.8409524 | Batch Acc: 0.8600000
Iter:   140 | Batch Cost: 0.9231170 | Batch Acc: 0.7300000
Iter:   150 | Batch Cost: 0.9810748 | Batch Acc: 0.6700000
Iter:   160 | Batch Cost: 0.7861327 | Batch Acc: 0.9000000
Iter:   170 | Batch Cost: 1.0582981 | Batch Acc: 0.2600000
Iter:   180 | Batch Cost: 0.9508996 | Batch Acc: 0.8200000
Iter:   190 | Batch Cost: 0.9897285 | Batch Acc: 0.6200000
Iter:   200 | Batch Cost: 0.9123088 | Batch Acc: 0.7400000
Iter:   210 | Batch Cost: 0.6972021 | Batch Acc: 0.8800000
Iter:   220 | Batch Cost: 0.9097548 | Batch Acc: 0.7700000
Iter:   230 | Batch Cost: 0.7757400 | Batch Acc: 0.8900000
Iter:   240 | Batch Cost: 0.8787644 | Batch Acc: 0.8000000
Iter:   250 | Batch Cost: 0.9156689 | Batch Acc: 0.8100000
Iter:   260 | Batch Cost: 1.0597277 | Batch Acc: 0.2300000
Iter:   270 | Batch Cost: 0.8698707 | Batch Acc: 0.7800000
Iter:   280 | Batch Cost: 1.1510349 | Batch Acc: 0.2000000
Iter:   290 | Batch Cost: 0.8430652 | Batch Acc: 0.7900000
Iter:   300 | Batch Cost: 1.0460063 | Batch Acc: 0.2300000
Iter:   310 | Batch Cost: 0.9159610 | Batch Acc: 0.7800000
Iter:   320 | Batch Cost: 0.9948759 | Batch Acc: 0.2300000
Iter:   330 | Batch Cost: 0.8834135 | Batch Acc: 0.8100000
Iter:   340 | Batch Cost: 0.7554598 | Batch Acc: 0.8500000
Iter:   350 | Batch Cost: 0.8933088 | Batch Acc: 0.7800000
Iter:   360 | Batch Cost: 0.8729557 | Batch Acc: 0.8100000
Iter:   370 | Batch Cost: 0.8706488 | Batch Acc: 0.8300000
Iter:   380 | Batch Cost: 0.8650059 | Batch Acc: 0.8100000
Iter:   390 | Batch Cost: 0.8926698 | Batch Acc: 0.7800000
Iter:   400 | Batch Cost: 0.8334333 | Batch Acc: 0.8400000
Iter:   410 | Batch Cost: 0.8776142 | Batch Acc: 0.8100000
Iter:   420 | Batch Cost: 0.9609082 | Batch Acc: 0.7600000
Iter:   430 | Batch Cost: 0.8104962 | Batch Acc: 0.8600000
Iter:   440 | Batch Cost: 0.8339283 | Batch Acc: 0.8500000
Iter:   450 | Batch Cost: 1.0155203 | Batch Acc: 0.1800000
Iter:   460 | Batch Cost: 0.7213012 | Batch Acc: 0.8500000
Iter:   470 | Batch Cost: 0.9564235 | Batch Acc: 0.7300000
Iter:   480 | Batch Cost: 0.8819035 | Batch Acc: 0.7800000
Iter:   490 | Batch Cost: 0.9147366 | Batch Acc: 0.7900000
Iter:   500 | Batch Cost: 0.8921428 | Batch Acc: 0.7700000
Iter:   510 | Batch Cost: 1.0128351 | Batch Acc: 0.2100000
Iter:   520 | Batch Cost: 0.8580994 | Batch Acc: 0.8200000
Iter:   530 | Batch Cost: 0.9319569 | Batch Acc: 0.7400000
Iter:   540 | Batch Cost: 0.9583212 | Batch Acc: 0.7200000
Iter:   550 | Batch Cost: 0.9367926 | Batch Acc: 0.7200000
Iter:   560 | Batch Cost: 0.8465821 | Batch Acc: 0.8600000
Iter:   570 | Batch Cost: 0.8946805 | Batch Acc: 0.8000000
Iter:   580 | Batch Cost: 0.8093659 | Batch Acc: 0.8700000
Iter:   590 | Batch Cost: 0.8241191 | Batch Acc: 0.8500000
Iter:   600 | Batch Cost: 1.0382388 | Batch Acc: 0.6200000
Iter:   610 | Batch Cost: 0.8161743 | Batch Acc: 0.8000000
Iter:   620 | Batch Cost: 0.8568400 | Batch Acc: 0.8000000
Iter:   630 | Batch Cost: 0.9000013 | Batch Acc: 0.8100000
Iter:   640 | Batch Cost: 0.8626141 | Batch Acc: 0.7800000
Iter:   650 | Batch Cost: 0.7833017 | Batch Acc: 0.8800000
Iter:   660 | Batch Cost: 1.0901159 | Batch Acc: 0.2000000
Iter:   670 | Batch Cost: 0.7183883 | Batch Acc: 0.9100000
Iter:   680 | Batch Cost: 1.0067526 | Batch Acc: 0.2000000
Iter:   690 | Batch Cost: 0.8720951 | Batch Acc: 0.7900000
Iter:   700 | Batch Cost: 0.9364481 | Batch Acc: 0.7600000
Iter:   710 | Batch Cost: 0.8762504 | Batch Acc: 0.7900000
Iter:   720 | Batch Cost: 0.9029099 | Batch Acc: 0.7600000
Iter:   730 | Batch Cost: 1.0816074 | Batch Acc: 0.1800000
Iter:   740 | Batch Cost: 0.6776526 | Batch Acc: 0.9200000
Iter:   750 | Batch Cost: 1.0286434 | Batch Acc: 0.2000000
Iter:   760 | Batch Cost: 0.8441048 | Batch Acc: 0.8700000
Iter:   770 | Batch Cost: 0.8474817 | Batch Acc: 0.8000000
Iter:   780 | Batch Cost: 0.9844166 | Batch Acc: 0.6600000
Iter:   790 | Batch Cost: 0.8483765 | Batch Acc: 0.8000000
Iter:   800 | Batch Cost: 0.9459256 | Batch Acc: 0.7300000
Iter:   810 | Batch Cost: 0.9901793 | Batch Acc: 0.7100000
Iter:   820 | Batch Cost: 0.9332953 | Batch Acc: 0.8000000
Iter:   830 | Batch Cost: 0.8453392 | Batch Acc: 0.8200000
Iter:   840 | Batch Cost: 0.8858717 | Batch Acc: 0.7800000
Iter:   850 | Batch Cost: 0.8047767 | Batch Acc: 0.9000000
Iter:   860 | Batch Cost: 0.8822227 | Batch Acc: 0.8300000
Iter:   870 | Batch Cost: 0.8919790 | Batch Acc: 0.8500000
Iter:   880 | Batch Cost: 0.9208770 | Batch Acc: 0.8000000
Iter:   890 | Batch Cost: 0.8640121 | Batch Acc: 0.8500000
Iter:   900 | Batch Cost: 0.9226429 | Batch Acc: 0.7700000
Iter:   910 | Batch Cost: 0.7984395 | Batch Acc: 0.8800000
Iter:   920 | Batch Cost: 0.8876846 | Batch Acc: 0.7900000
Iter:   930 | Batch Cost: 0.9345707 | Batch Acc: 0.7200000
Iter:   940 | Batch Cost: 0.8696323 | Batch Acc: 0.8400000
Iter:   950 | Batch Cost: 0.9834623 | Batch Acc: 0.7300000
Iter:   960 | Batch Cost: 0.8976897 | Batch Acc: 0.7200000
Iter:   970 | Batch Cost: 0.9108800 | Batch Acc: 0.8000000
Iter:   980 | Batch Cost: 0.8480385 | Batch Acc: 0.8100000
Iter:   990 | Batch Cost: 0.8091287 | Batch Acc: 0.8900000
Iter:  1000 | Batch Cost: 0.9509408 | Batch Acc: 0.7800000
Iter:  1010 | Batch Cost: 0.9309772 | Batch Acc: 0.7400000
Iter:  1020 | Batch Cost: 0.9641424 | Batch Acc: 0.6700000
Iter:  1030 | Batch Cost: 0.8619805 | Batch Acc: 0.7700000
Iter:  1040 | Batch Cost: 0.8751678 | Batch Acc: 0.8000000
Iter:  1050 | Batch Cost: 0.9851250 | Batch Acc: 0.3800000
Iter:  1060 | Batch Cost: 0.9566295 | Batch Acc: 0.7500000
Iter:  1070 | Batch Cost: 0.8939125 | Batch Acc: 0.7900000
Iter:  1080 | Batch Cost: 0.8257684 | Batch Acc: 0.8000000
Iter:  1090 | Batch Cost: 0.8273540 | Batch Acc: 0.8500000
Iter:  1100 | Batch Cost: 1.0470716 | Batch Acc: 0.1700000
Iter:  1110 | Batch Cost: 0.7140101 | Batch Acc: 0.9100000
Iter:  1120 | Batch Cost: 0.9395425 | Batch Acc: 0.7600000
Iter:  1130 | Batch Cost: 0.8550053 | Batch Acc: 0.8200000
Iter:  1140 | Batch Cost: 0.8920443 | Batch Acc: 0.7500000
Iter:  1150 | Batch Cost: 0.9431463 | Batch Acc: 0.7200000
Iter:  1160 | Batch Cost: 0.9170947 | Batch Acc: 0.7200000
Iter:  1170 | Batch Cost: 0.8175833 | Batch Acc: 0.8400000
Iter:  1180 | Batch Cost: 0.8724865 | Batch Acc: 0.7800000
Iter:  1190 | Batch Cost: 0.8627937 | Batch Acc: 0.7800000
Iter:  1200 | Batch Cost: 0.9136183 | Batch Acc: 0.7800000
Iter:  1210 | Batch Cost: 0.8256120 | Batch Acc: 0.8500000
Iter:  1220 | Batch Cost: 1.0152905 | Batch Acc: 0.6100000
Iter:  1230 | Batch Cost: 0.8346293 | Batch Acc: 0.8600000
Iter:  1240 | Batch Cost: 1.0695079 | Batch Acc: 0.2100000
Iter:  1250 | Batch Cost: 0.7420746 | Batch Acc: 0.8600000
Iter:  1260 | Batch Cost: 0.9331004 | Batch Acc: 0.7200000
Iter:  1270 | Batch Cost: 0.8252289 | Batch Acc: 0.9000000
Iter:  1280 | Batch Cost: 1.0943799 | Batch Acc: 0.2500000
Iter:  1290 | Batch Cost: 0.8416306 | Batch Acc: 0.8400000
Iter:  1300 | Batch Cost: 0.9457479 | Batch Acc: 0.6900000
Iter:  1310 | Batch Cost: 0.8004124 | Batch Acc: 0.8600000
Iter:  1320 | Batch Cost: 0.9725918 | Batch Acc: 0.7000000
Iter:  1330 | Batch Cost: 1.0124956 | Batch Acc: 0.6200000
Iter:  1340 | Batch Cost: 0.9002868 | Batch Acc: 0.7600000
Iter:  1350 | Batch Cost: 0.9530609 | Batch Acc: 0.7200000
Iter:  1360 | Batch Cost: 0.7884600 | Batch Acc: 0.8400000
Iter:  1370 | Batch Cost: 0.9795820 | Batch Acc: 0.6500000
Iter:  1380 | Batch Cost: 0.8550732 | Batch Acc: 0.8200000
Iter:  1390 | Batch Cost: 0.9741510 | Batch Acc: 0.7400000
Iter:  1400 | Batch Cost: 0.8910952 | Batch Acc: 0.7800000
Iter:  1410 | Batch Cost: 0.9538826 | Batch Acc: 0.6700000
Iter:  1420 | Batch Cost: 0.8810110 | Batch Acc: 0.8100000
Iter:  1430 | Batch Cost: 0.8544093 | Batch Acc: 0.8100000
Iter:  1440 | Batch Cost: 0.9406442 | Batch Acc: 0.7300000
Iter:  1450 | Batch Cost: 0.8966376 | Batch Acc: 0.8200000
Iter:  1460 | Batch Cost: 0.8735493 | Batch Acc: 0.7800000
Iter:  1470 | Batch Cost: 0.9067749 | Batch Acc: 0.8000000
Iter:  1480 | Batch Cost: 0.9207122 | Batch Acc: 0.7600000
Iter:  1490 | Batch Cost: 0.9879323 | Batch Acc: 0.7300000
Iter:  1500 | Batch Cost: 0.9478182 | Batch Acc: 0.6700000
Iter:  1510 | Batch Cost: 0.8862440 | Batch Acc: 0.8300000
Iter:  1520 | Batch Cost: 0.9171339 | Batch Acc: 0.7600000
Iter:  1530 | Batch Cost: 0.8676653 | Batch Acc: 0.8000000
Iter:  1540 | Batch Cost: 0.8290304 | Batch Acc: 0.8700000
Iter:  1550 | Batch Cost: 1.0039073 | Batch Acc: 0.7000000
Iter:  1560 | Batch Cost: 0.8979497 | Batch Acc: 0.7800000
Iter:  1570 | Batch Cost: 0.7836685 | Batch Acc: 0.8500000
Iter:  1580 | Batch Cost: 0.9749992 | Batch Acc: 0.7000000
Iter:  1590 | Batch Cost: 0.8304091 | Batch Acc: 0.8300000
Iter:  1600 | Batch Cost: 1.0596151 | Batch Acc: 0.2100000
Iter:  1610 | Batch Cost: 0.8969716 | Batch Acc: 0.7900000
Iter:  1620 | Batch Cost: 0.9270897 | Batch Acc: 0.7300000
Iter:  1630 | Batch Cost: 0.8330685 | Batch Acc: 0.8300000
Iter:  1640 | Batch Cost: 1.0207500 | Batch Acc: 0.2400000
Iter:  1650 | Batch Cost: 0.8607918 | Batch Acc: 0.8200000
Iter:  1660 | Batch Cost: 0.9167552 | Batch Acc: 0.8000000
Iter:  1670 | Batch Cost: 0.9783650 | Batch Acc: 0.7100000
Iter:  1680 | Batch Cost: 0.8489279 | Batch Acc: 0.8400000
Iter:  1690 | Batch Cost: 0.9563722 | Batch Acc: 0.7500000
Iter:  1700 | Batch Cost: 0.9255076 | Batch Acc: 0.8300000
Iter:  1710 | Batch Cost: 0.8311542 | Batch Acc: 0.8800000
Iter:  1720 | Batch Cost: 0.8683511 | Batch Acc: 0.8000000
Iter:  1730 | Batch Cost: 0.9580071 | Batch Acc: 0.2700000
Iter:  1740 | Batch Cost: 0.8063942 | Batch Acc: 0.8300000
Iter:  1750 | Batch Cost: 1.0122609 | Batch Acc: 0.2100000
Iter:  1760 | Batch Cost: 0.9138041 | Batch Acc: 0.7600000
Iter:  1770 | Batch Cost: 0.9315362 | Batch Acc: 0.7400000
Iter:  1780 | Batch Cost: 0.7712457 | Batch Acc: 0.8900000
Iter:  1790 | Batch Cost: 0.8458272 | Batch Acc: 0.8400000
Iter:  1800 | Batch Cost: 0.8898180 | Batch Acc: 0.8100000
Iter:  1810 | Batch Cost: 0.9081860 | Batch Acc: 0.7700000
Iter:  1820 | Batch Cost: 0.9579332 | Batch Acc: 0.6400000
Iter:  1830 | Batch Cost: 0.8098565 | Batch Acc: 0.8600000
Iter:  1840 | Batch Cost: 1.0434503 | Batch Acc: 0.2100000
Iter:  1850 | Batch Cost: 0.9898608 | Batch Acc: 0.7000000
Iter:  1860 | Batch Cost: 0.9210498 | Batch Acc: 0.7200000
Iter:  1870 | Batch Cost: 0.9075634 | Batch Acc: 0.7700000
Iter:  1880 | Batch Cost: 0.9416727 | Batch Acc: 0.7700000
Iter:  1890 | Batch Cost: 0.9322276 | Batch Acc: 0.7300000
Iter:  1900 | Batch Cost: 0.8323613 | Batch Acc: 0.8600000
Iter:  1910 | Batch Cost: 0.9594823 | Batch Acc: 0.7000000
Iter:  1920 | Batch Cost: 0.9190677 | Batch Acc: 0.8000000
Iter:  1930 | Batch Cost: 0.8690303 | Batch Acc: 0.8000000
Iter:  1940 | Batch Cost: 0.9531583 | Batch Acc: 0.6500000
Iter:  1950 | Batch Cost: 0.8554692 | Batch Acc: 0.7900000
Iter:  1960 | Batch Cost: 0.7757760 | Batch Acc: 0.8500000
Iter:  1970 | Batch Cost: 0.8975458 | Batch Acc: 0.7700000
Iter:  1980 | Batch Cost: 0.8879170 | Batch Acc: 0.7600000
Iter:  1990 | Batch Cost: 0.7632815 | Batch Acc: 0.8900000
Iter:  2000 | Batch Cost: 0.8104963 | Batch Acc: 0.8500000
Iter:  2010 | Batch Cost: 0.8983388 | Batch Acc: 0.7500000
Iter:  2020 | Batch Cost: 0.9339007 | Batch Acc: 0.7000000
Iter:  2030 | Batch Cost: 0.9123592 | Batch Acc: 0.7600000
Iter:  2040 | Batch Cost: 1.0092131 | Batch Acc: 0.1800000
Iter:  2050 | Batch Cost: 0.8614239 | Batch Acc: 0.8100000
Iter:  2060 | Batch Cost: 0.9535657 | Batch Acc: 0.6900000
Iter:  2070 | Batch Cost: 0.9521801 | Batch Acc: 0.7700000
Iter:  2080 | Batch Cost: 0.8500420 | Batch Acc: 0.8200000
Iter:  2090 | Batch Cost: 0.9376944 | Batch Acc: 0.8400000
Iter:  2100 | Batch Cost: 0.7871697 | Batch Acc: 0.8600000
Iter:  2110 | Batch Cost: 0.8501226 | Batch Acc: 0.8500000
Iter:  2120 | Batch Cost: 0.9070015 | Batch Acc: 0.8600000
Iter:  2130 | Batch Cost: 0.7893836 | Batch Acc: 0.8300000
Iter:  2140 | Batch Cost: 0.8667240 | Batch Acc: 0.8000000
Iter:  2150 | Batch Cost: 0.8683255 | Batch Acc: 0.8100000
Iter:  2160 | Batch Cost: 0.8034470 | Batch Acc: 0.8200000
Iter:  2170 | Batch Cost: 1.0064868 | Batch Acc: 0.2600000
Iter:  2180 | Batch Cost: 0.8924681 | Batch Acc: 0.8000000
Iter:  2190 | Batch Cost: 0.8441412 | Batch Acc: 0.8600000
Iter:  2200 | Batch Cost: 0.7604384 | Batch Acc: 0.9000000
Iter:  2210 | Batch Cost: 1.0396717 | Batch Acc: 0.1600000
Iter:  2220 | Batch Cost: 0.8048760 | Batch Acc: 0.8700000
Iter:  2230 | Batch Cost: 0.9645507 | Batch Acc: 0.7000000
Iter:  2240 | Batch Cost: 0.8050425 | Batch Acc: 0.8400000
Iter:  2250 | Batch Cost: 0.9020648 | Batch Acc: 0.7300000
Iter:  2260 | Batch Cost: 0.9199794 | Batch Acc: 0.7800000
Iter:  2270 | Batch Cost: 0.9343606 | Batch Acc: 0.8000000
Iter:  2280 | Batch Cost: 0.8042817 | Batch Acc: 0.8200000
Iter:  2290 | Batch Cost: 0.8051313 | Batch Acc: 0.8800000
Iter:  2300 | Batch Cost: 0.9707978 | Batch Acc: 0.7600000
Iter:  2310 | Batch Cost: 0.8671772 | Batch Acc: 0.8400000
Iter:  2320 | Batch Cost: 0.8577109 | Batch Acc: 0.8100000
Iter:  2330 | Batch Cost: 0.8586209 | Batch Acc: 0.8300000
Iter:  2340 | Batch Cost: 0.9958925 | Batch Acc: 0.6800000
Iter:  2350 | Batch Cost: 0.9727374 | Batch Acc: 0.6300000
