--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 257673 rows. Loading a random sample of 257673 rows.
Dataset loaded. Final shape: (257673, 45)
Dataset Columns: Index(['id', 'dur', 'proto', 'service', 'state', 'spkts', 'dpkts', 'sbytes',
       'dbytes', 'rate', 'sttl', 'dttl', 'sload', 'dload', 'sloss', 'dloss',
       'sinpkt', 'dinpkt', 'sjit', 'djit', 'swin', 'stcpb', 'dtcpb', 'dwin',
       'tcprtt', 'synack', 'ackdat', 'smean', 'dmean', 'trans_depth',
       'response_body_len', 'ct_srv_src', 'ct_state_ttl', 'ct_dst_ltm',
       'ct_src_dport_ltm', 'ct_dst_sport_ltm', 'ct_dst_src_ltm',
       'is_ftp_login', 'ct_ftp_cmd', 'ct_flw_http_mthd', 'ct_src_ltm',
       'ct_srv_dst', 'is_sm_ips_ports', 'attack_cat', 'label'],
      dtype='object')
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (206138, 8)
X_test shape: (51535, 8)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 0.98 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 8 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (2061 iterations for a training set of size 206138).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(1.3853360215053763), tensor(1, requires_grad=False): np.float64(0.7823786606749761)}
Parameters initialized. Starting training for 2061 iterations with batch size 100.
Iter:    10 | Batch Cost: 1.1914714 | Batch Acc: 0.3300000
Iter:    20 | Batch Cost: 1.0059403 | Batch Acc: 0.4100000
Iter:    30 | Batch Cost: 0.9815402 | Batch Acc: 0.6600000
Iter:    40 | Batch Cost: 0.9322842 | Batch Acc: 0.6300000
Iter:    50 | Batch Cost: 0.9202167 | Batch Acc: 0.7900000
Iter:    60 | Batch Cost: 0.8654031 | Batch Acc: 0.7200000
Iter:    70 | Batch Cost: 0.9402986 | Batch Acc: 0.5300000
Iter:    80 | Batch Cost: 0.8300451 | Batch Acc: 0.7800000
Iter:    90 | Batch Cost: 0.9419425 | Batch Acc: 0.5400000
Iter:   100 | Batch Cost: 0.9123919 | Batch Acc: 0.7200000
Iter:   110 | Batch Cost: 0.8731859 | Batch Acc: 0.6500000
Iter:   120 | Batch Cost: 0.9118410 | Batch Acc: 0.7500000
Iter:   130 | Batch Cost: 0.8865912 | Batch Acc: 0.7400000
Iter:   140 | Batch Cost: 0.8681911 | Batch Acc: 0.7000000
Iter:   150 | Batch Cost: 0.9317427 | Batch Acc: 0.6500000
Iter:   160 | Batch Cost: 0.8564758 | Batch Acc: 0.7700000
Iter:   170 | Batch Cost: 0.9037529 | Batch Acc: 0.7500000
Iter:   180 | Batch Cost: 0.9216766 | Batch Acc: 0.6000000
Iter:   190 | Batch Cost: 0.8290975 | Batch Acc: 0.7500000
Iter:   200 | Batch Cost: 0.9373622 | Batch Acc: 0.6800000
Iter:   210 | Batch Cost: 0.8739255 | Batch Acc: 0.7100000
Iter:   220 | Batch Cost: 0.9332850 | Batch Acc: 0.7000000
Iter:   230 | Batch Cost: 0.9485039 | Batch Acc: 0.6700000
Iter:   240 | Batch Cost: 0.8281013 | Batch Acc: 0.7300000
Iter:   250 | Batch Cost: 0.9173980 | Batch Acc: 0.7100000
Iter:   260 | Batch Cost: 0.8499864 | Batch Acc: 0.6300000
Iter:   270 | Batch Cost: 0.9024817 | Batch Acc: 0.7100000
Iter:   280 | Batch Cost: 0.8632060 | Batch Acc: 0.7300000
Iter:   290 | Batch Cost: 0.8944094 | Batch Acc: 0.8000000
Iter:   300 | Batch Cost: 0.8686278 | Batch Acc: 0.7900000
Iter:   310 | Batch Cost: 1.0196062 | Batch Acc: 0.4200000
Iter:   320 | Batch Cost: 0.9004036 | Batch Acc: 0.7200000
Iter:   330 | Batch Cost: 0.8575676 | Batch Acc: 0.7100000
Iter:   340 | Batch Cost: 0.8576099 | Batch Acc: 0.7800000
Iter:   350 | Batch Cost: 0.8326859 | Batch Acc: 0.7300000
Iter:   360 | Batch Cost: 0.9298225 | Batch Acc: 0.5800000
Iter:   370 | Batch Cost: 0.8694987 | Batch Acc: 0.6800000
Iter:   380 | Batch Cost: 0.8767221 | Batch Acc: 0.7400000
Iter:   390 | Batch Cost: 0.9712997 | Batch Acc: 0.5200000
Iter:   400 | Batch Cost: 0.9146776 | Batch Acc: 0.7200000
Iter:   410 | Batch Cost: 0.9491409 | Batch Acc: 0.5100000
Iter:   420 | Batch Cost: 0.9686480 | Batch Acc: 0.4700000
Iter:   430 | Batch Cost: 0.8505333 | Batch Acc: 0.7200000
Iter:   440 | Batch Cost: 0.8521135 | Batch Acc: 0.7500000
Iter:   450 | Batch Cost: 0.9708473 | Batch Acc: 0.4800000
Iter:   460 | Batch Cost: 0.8519855 | Batch Acc: 0.6600000
Iter:   470 | Batch Cost: 0.8634317 | Batch Acc: 0.8000000
Iter:   480 | Batch Cost: 0.9156420 | Batch Acc: 0.7300000
