--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 2357649 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Dataset Columns: Index(['original_dataset', 'fwd_iat_mean', 'fwd_iat_std', 'bwd_iat_mean',
       'protocol', 'attack_category', 'duration', 'is_attack', 'bwd_iat_std'],
      dtype='object')
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 5)
X_test shape: (100000, 5)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 4.26 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 5 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(0.703356063456784), tensor(1, requires_grad=False): np.float64(1.729370768445901)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:    10 | Batch Cost: 0.9192730 | Batch Acc: 0.6800000
Iter:    20 | Batch Cost: 0.9433380 | Batch Acc: 0.3800000
Iter:    30 | Batch Cost: 1.0079502 | Batch Acc: 0.4300000
Iter:    40 | Batch Cost: 0.8753714 | Batch Acc: 0.6200000
Iter:    50 | Batch Cost: 0.9274439 | Batch Acc: 0.4300000
Iter:    60 | Batch Cost: 0.9100776 | Batch Acc: 0.7000000
Iter:    70 | Batch Cost: 0.9489290 | Batch Acc: 0.4200000
Iter:    80 | Batch Cost: 0.9176542 | Batch Acc: 0.4100000
Iter:    90 | Batch Cost: 1.0743974 | Batch Acc: 0.3800000
Iter:   100 | Batch Cost: 0.9085541 | Batch Acc: 0.4900000
Iter:   110 | Batch Cost: 0.9624928 | Batch Acc: 0.4200000
Iter:   120 | Batch Cost: 0.9677923 | Batch Acc: 0.4300000
Iter:   130 | Batch Cost: 1.0860528 | Batch Acc: 0.3800000
Iter:   140 | Batch Cost: 0.8162162 | Batch Acc: 0.7600000
Iter:   150 | Batch Cost: 0.9660311 | Batch Acc: 0.4400000
Iter:   160 | Batch Cost: 0.8760400 | Batch Acc: 0.4800000
Iter:   170 | Batch Cost: 0.8750219 | Batch Acc: 0.7400000
Iter:   180 | Batch Cost: 0.9187403 | Batch Acc: 0.4500000
Iter:   190 | Batch Cost: 0.8907611 | Batch Acc: 0.7500000
Iter:   200 | Batch Cost: 0.8349350 | Batch Acc: 0.7700000
Iter:   210 | Batch Cost: 1.0561527 | Batch Acc: 0.4300000
Iter:   220 | Batch Cost: 0.9180740 | Batch Acc: 0.6600000
Iter:   230 | Batch Cost: 1.0808658 | Batch Acc: 0.3400000
Iter:   240 | Batch Cost: 0.9673102 | Batch Acc: 0.4100000
Iter:   250 | Batch Cost: 0.9718306 | Batch Acc: 0.4200000
Iter:   260 | Batch Cost: 1.0268180 | Batch Acc: 0.3600000
Iter:   270 | Batch Cost: 0.9328128 | Batch Acc: 0.4600000
Iter:   280 | Batch Cost: 0.9943547 | Batch Acc: 0.4800000
Iter:   290 | Batch Cost: 1.0349695 | Batch Acc: 0.3100000
Iter:   300 | Batch Cost: 0.9930479 | Batch Acc: 0.4500000
Iter:   310 | Batch Cost: 0.9875070 | Batch Acc: 0.3300000
Iter:   320 | Batch Cost: 0.9582114 | Batch Acc: 0.4600000
Iter:   330 | Batch Cost: 0.9803133 | Batch Acc: 0.4000000
Iter:   340 | Batch Cost: 0.9483011 | Batch Acc: 0.4400000
Iter:   350 | Batch Cost: 0.7650266 | Batch Acc: 0.7800000
Iter:   360 | Batch Cost: 0.9757463 | Batch Acc: 0.4400000
Iter:   370 | Batch Cost: 0.8614818 | Batch Acc: 0.5300000
Iter:   380 | Batch Cost: 0.9206551 | Batch Acc: 0.7000000
Iter:   390 | Batch Cost: 0.8892536 | Batch Acc: 0.7400000
Iter:   400 | Batch Cost: 0.9911542 | Batch Acc: 0.3600000
Iter:   410 | Batch Cost: 0.9585905 | Batch Acc: 0.4100000
Iter:   420 | Batch Cost: 1.0105292 | Batch Acc: 0.4400000
Iter:   430 | Batch Cost: 0.9194799 | Batch Acc: 0.7800000
Iter:   440 | Batch Cost: 0.9639879 | Batch Acc: 0.3800000
Iter:   450 | Batch Cost: 1.0043435 | Batch Acc: 0.4200000
Iter:   460 | Batch Cost: 0.9470472 | Batch Acc: 0.4700000
Iter:   470 | Batch Cost: 0.9461192 | Batch Acc: 0.6900000
Iter:   480 | Batch Cost: 1.0427513 | Batch Acc: 0.4000000
Iter:   490 | Batch Cost: 1.0104951 | Batch Acc: 0.3200000
Iter:   500 | Batch Cost: 0.9255444 | Batch Acc: 0.4300000
Iter:   510 | Batch Cost: 1.0231662 | Batch Acc: 0.3200000
Iter:   520 | Batch Cost: 1.0616393 | Batch Acc: 0.3700000
Iter:   530 | Batch Cost: 0.8702182 | Batch Acc: 0.7100000
Iter:   540 | Batch Cost: 0.9869703 | Batch Acc: 0.4300000
Iter:   550 | Batch Cost: 0.9374711 | Batch Acc: 0.4400000
Iter:   560 | Batch Cost: 0.8498189 | Batch Acc: 0.7700000
Iter:   570 | Batch Cost: 0.9846531 | Batch Acc: 0.4700000
Iter:   580 | Batch Cost: 0.9159313 | Batch Acc: 0.6800000
Iter:   590 | Batch Cost: 0.9141965 | Batch Acc: 0.4900000
Iter:   600 | Batch Cost: 1.0640378 | Batch Acc: 0.3800000
Iter:   610 | Batch Cost: 0.9100510 | Batch Acc: 0.3900000
